state,state fips,county,county code,commodity,data item,domain category,value
US TOTAL,99,,,WHEAT,WHEAT - OPERATIONS WITH AREA HARVESTED,,"104,792"
US TOTAL,99,,,WHEAT,WHEAT - ACRES HARVESTED,,"38,811,620"
US TOTAL,99,,,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",,"1,788,456,593"
US TOTAL,99,,,WHEAT,"WHEAT, SPRING, DURUM - OPERATIONS WITH AREA HARVESTED",,"3,093"
US TOTAL,99,,,WHEAT,"WHEAT, SPRING, DURUM - ACRES HARVESTED",,"2,206,169"
US TOTAL,99,,,WHEAT,"WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",,"63,273,647"
US TOTAL,99,,,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - OPERATIONS WITH AREA HARVESTED",,"20,076"
US TOTAL,99,,,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED",,"10,419,033"
US TOTAL,99,,,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - PRODUCTION, MEASURED IN BU",,"440,770,319"
US TOTAL,99,,,WHEAT,"WHEAT, WINTER - OPERATIONS WITH AREA HARVESTED",,"86,596"
US TOTAL,99,,,WHEAT,"WHEAT, WINTER - ACRES HARVESTED",,"26,186,417"
US TOTAL,99,,,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU",,"1,284,412,628"
US TOTAL,99,,,OATS,OATS - OPERATIONS WITH AREA HARVESTED,,"19,842"
US TOTAL,99,,,OATS,OATS - ACRES HARVESTED,,"814,140"
US TOTAL,99,,,OATS,"OATS - PRODUCTION, MEASURED IN BU",,"50,406,624"
US TOTAL,99,,,BARLEY,BARLEY - OPERATIONS WITH AREA HARVESTED,,"11,188"
US TOTAL,99,,,BARLEY,BARLEY - ACRES HARVESTED,,"2,206,808"
US TOTAL,99,,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",,"161,624,924"
US TOTAL,99,,,SORGHUM,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",,"15,339"
US TOTAL,99,,,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",,"5,070,159"
US TOTAL,99,,,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU",,"354,737,072"
US TOTAL,99,,,SORGHUM,"SORGHUM, SILAGE - OPERATIONS WITH AREA HARVESTED",,"3,064"
US TOTAL,99,,,SORGHUM,"SORGHUM, SILAGE - ACRES HARVESTED",,"335,647"
US TOTAL,99,,,SORGHUM,"SORGHUM, SILAGE - PRODUCTION, MEASURED IN TONS",,"4,434,915"
US TOTAL,99,,,SOYBEANS,SOYBEANS - OPERATIONS WITH AREA HARVESTED,,"303,191"
US TOTAL,99,,,SOYBEANS,SOYBEANS - ACRES HARVESTED,,"90,149,480"
US TOTAL,99,,,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU",,"4,356,024,186"
US TOTAL,99,,,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS & LIMA) - OPERATIONS WITH AREA HARVESTED",,"5,408"
US TOTAL,99,,,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS & LIMA) - ACRES HARVESTED",,"1,470,136"
US TOTAL,99,,,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS & LIMA) - PRODUCTION, MEASURED IN CWT",,"30,625,986"
US TOTAL,99,,,COTTON,COTTON - OPERATIONS WITH AREA HARVESTED,,"16,149"
US TOTAL,99,,,COTTON,COTTON - ACRES HARVESTED,,"11,401,965"
US TOTAL,99,,,COTTON,"COTTON - PRODUCTION, MEASURED IN BALES",,"20,413,180"
US TOTAL,99,,,TOBACCO,TOBACCO - OPERATIONS WITH AREA HARVESTED,,"6,237"
US TOTAL,99,,,TOBACCO,TOBACCO - ACRES HARVESTED,,"331,552"
US TOTAL,99,,,TOBACCO,"TOBACCO - PRODUCTION, MEASURED IN LB",,"715,446,022"
US TOTAL,99,,,HAY & HAYLAGE,HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED,,"799,627"
US TOTAL,99,,,HAY & HAYLAGE,HAY & HAYLAGE - ACRES HARVESTED,,"56,858,622"
US TOTAL,99,,,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS",,"140,229,237"
US TOTAL,99,,,RICE,RICE - OPERATIONS WITH AREA HARVESTED,,"4,637"
US TOTAL,99,,,RICE,RICE - ACRES HARVESTED,,"2,395,054"
US TOTAL,99,,,RICE,"RICE - PRODUCTION, MEASURED IN CWT",,"176,274,671"
US TOTAL,99,,,SUNFLOWER,SUNFLOWER - OPERATIONS WITH AREA HARVESTED,,"3,389"
US TOTAL,99,,,SUNFLOWER,SUNFLOWER - ACRES HARVESTED,,"1,324,030"
US TOTAL,99,,,SUNFLOWER,"SUNFLOWER - PRODUCTION, MEASURED IN LB",,"2,086,855,236"
US TOTAL,99,,,SUGARBEETS,SUGARBEETS - OPERATIONS WITH AREA HARVESTED,,"3,496"
US TOTAL,99,,,SUGARBEETS,SUGARBEETS - ACRES HARVESTED,,"1,150,682"
US TOTAL,99,,,SUGARBEETS,"SUGARBEETS - PRODUCTION, MEASURED IN TONS",,"35,488,911"
US TOTAL,99,,,SUGARCANE,"SUGARCANE, SUGAR - OPERATIONS WITH AREA HARVESTED",,627
US TOTAL,99,,,SUGARCANE,"SUGARCANE, SUGAR - ACRES HARVESTED",,"843,454"
US TOTAL,99,,,SUGARCANE,"SUGARCANE, SUGAR - PRODUCTION, MEASURED IN TONS",,"30,949,944"
US TOTAL,99,,,PEANUTS,PEANUTS - OPERATIONS WITH AREA HARVESTED,,"6,379"
US TOTAL,99,,,PEANUTS,PEANUTS - ACRES HARVESTED,,"1,786,767"
US TOTAL,99,,,PEANUTS,"PEANUTS - PRODUCTION, MEASURED IN LB",,"7,114,985,199"
US TOTAL,99,,,VEGETABLE TOTALS,"VEGETABLE TOTALS, IN THE OPEN - OPERATIONS WITH AREA HARVESTED",,"74,276"
US TOTAL,99,,,VEGETABLE TOTALS,"VEGETABLE TOTALS, IN THE OPEN - ACRES HARVESTED",,"4,365,149"
US TOTAL,99,,,POTATOES,POTATOES - OPERATIONS WITH AREA HARVESTED,,"16,554"
US TOTAL,99,,,POTATOES,POTATOES - ACRES HARVESTED,,"1,133,128"
US TOTAL,99,,,SWEET POTATOES,SWEET POTATOES - OPERATIONS WITH AREA HARVESTED,,"4,798"
US TOTAL,99,,,SWEET POTATOES,SWEET POTATOES - ACRES HARVESTED,,"172,983"
US TOTAL,99,,,ORCHARDS,ORCHARDS - OPERATIONS WITH AREA BEARING & NON-BEARING,,"111,955"
US TOTAL,99,,,ORCHARDS,ORCHARDS - ACRES BEARING & NON-BEARING,,"5,665,600"
